t=2025-07-26T14:44:19+0530 lvl=info msg="no configuration paths supplied"
t=2025-07-26T14:44:19+0530 lvl=info msg="using configuration at default config path" path="/Users/coder/Library/Application Support/ngrok/ngrok.yml"
t=2025-07-26T14:44:19+0530 lvl=info msg="open config file" path="/Users/coder/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2025-07-26T14:44:19+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2025-07-26T14:44:20+0530 lvl=info msg="client session established" obj=tunnels.session
t=2025-07-26T14:44:20+0530 lvl=info msg="tunnel session started" obj=tunnels.session
t=2025-07-26T14:56:02+0530 lvl=info msg="join connections" obj=join id=de464c0f679d l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:26840
t=2025-07-26T14:56:08+0530 lvl=info msg="join connections" obj=join id=d1a34de1e242 l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:20536
t=2025-07-26T14:56:14+0530 lvl=info msg="join connections" obj=join id=26f283b0ead6 l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:20542
t=2025-07-26T14:56:20+0530 lvl=info msg="join connections" obj=join id=b1f4ae73526a l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:34672
t=2025-07-26T14:56:26+0530 lvl=info msg="join connections" obj=join id=8d78663bc46b l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:34682
t=2025-07-26T14:56:33+0530 lvl=info msg="join connections" obj=join id=60367c467e3b l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:60248
t=2025-07-26T14:56:39+0530 lvl=info msg="join connections" obj=join id=0e317ca75936 l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:31118
t=2025-07-26T14:56:44+0530 lvl=info msg="join connections" obj=join id=56fcd2ed5a2c l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:31120
t=2025-07-26T14:56:50+0530 lvl=info msg="join connections" obj=join id=654156ac4291 l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:60822
t=2025-07-26T14:56:56+0530 lvl=info msg="join connections" obj=join id=5db2b3706ecb l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:60836
t=2025-07-26T14:57:03+0530 lvl=info msg="join connections" obj=join id=1b9a1f6b0fe5 l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:42176
t=2025-07-26T14:57:08+0530 lvl=info msg="join connections" obj=join id=afaed916f5b3 l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:58858
t=2025-07-26T14:57:14+0530 lvl=info msg="join connections" obj=join id=24e0921cc875 l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:58866
t=2025-07-26T14:57:20+0530 lvl=info msg="join connections" obj=join id=2cd45d39b454 l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:28628
t=2025-07-26T14:57:26+0530 lvl=info msg="join connections" obj=join id=cdc34a7a4552 l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:28642
t=2025-07-26T14:57:32+0530 lvl=info msg="join connections" obj=join id=b1706201eb19 l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:64030
t=2025-07-26T14:57:38+0530 lvl=info msg="join connections" obj=join id=d398789508c6 l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:11204
